link_words,count,rating,sentiment
Variations class,1,5,Positive
apps like others,1,5,Positive
different situation,1,5,Positive
end result,1,5,Positive
few different categories,1,5,Positive
lot of templates,1,5,Positive
make choices,1,5,Positive
new templates,1,5,Positive
