title,stars,text,username,version,date,app_id,app_name,country
PLEASE UPDATE,5,"Awesome , easy to edit . But please update more design. Because we paid for the design",gorilla putih,1.2.1,2020-01-24,1444057634,Storio,Malaysia
Please update,2,Please make like we can buy what template we want without need to subs all filter,qiscm,1.2.5,2020-06-26,1444057634,Storio,Malaysia
Design,2,Please update more design puzzle .. paid but same thing 🙄,reeq1,1.1,2019-12-13,1444057634,Storio,Malaysia
